"Food, tropical fruit",https://www.spellzone.com/word_lists/list.cfm?wordlist=212
"Food, vegetables",https://www.spellzone.com/word_lists/list.cfm?wordlist=224
"Food, verbs",https://www.spellzone.com/word_lists/list.cfm?wordlist=188
Fuel,https://www.spellzone.com/word_lists/list.cfm?wordlist=225
Geography,https://www.spellzone.com/word_lists/list.cfm?wordlist=228
"Government, general",https://www.spellzone.com/word_lists/list.cfm?wordlist=229
"Government, ministries",https://www.spellzone.com/word_lists/list.cfm?wordlist=230
"Government, people",https://www.spellzone.com/word_lists/list.cfm?wordlist=231
"Home, bathroom",https://www.spellzone.com/word_lists/list.cfm?wordlist=232
"Home, bathroom objects",https://www.spellzone.com/word_lists/list.cfm?wordlist=262
"Home, bedroom",https://www.spellzone.com/word_lists/list.cfm?wordlist=263
"Home, dining room",https://www.spellzone.com/word_lists/list.cfm?wordlist=265
"Home, furniture",https://www.spellzone.com/word_lists/list.cfm?wordlist=409
"Home, hall",https://www.spellzone.com/word_lists/list.cfm?wordlist=269
"Home, kitchen",https://www.spellzone.com/word_lists/list.cfm?wordlist=271
"Home, kitchen utensils",https://www.spellzone.com/word_lists/list.cfm?wordlist=272
"Home, living room",https://www.spellzone.com/word_lists/list.cfm?wordlist=273
"Jobs, business",https://www.spellzone.com/word_lists/list.cfm?wordlist=274
"Jobs, general",https://www.spellzone.com/word_lists/list.cfm?wordlist=275
"Jobs, health",https://www.spellzone.com/word_lists/list.cfm?wordlist=276
"Jobs, news",https://www.spellzone.com/word_lists/list.cfm?wordlist=277
"Jobs, science",https://www.spellzone.com/word_lists/list.cfm?wordlist=278
"Jobs, vocational",https://www.spellzone.com/word_lists/list.cfm?wordlist=279
"Materials, building",https://www.spellzone.com/word_lists/list.cfm?wordlist=281
"Materials, metals",https://www.spellzone.com/word_lists/list.cfm?wordlist=280
"Maths, general",https://www.spellzone.com/word_lists/list.cfm?wordlist=282
"Maths, operations",https://www.spellzone.com/word_lists/list.cfm?wordlist=283
"Maths, shapes",https://www.spellzone.com/word_lists/list.cfm?wordlist=287
Measurement,https://www.spellzone.com/word_lists/list.cfm?wordlist=288
"Medical, Illness",https://www.spellzone.com/word_lists/list.cfm?wordlist=14178
Military ranks,https://www.spellzone.com/word_lists/list.cfm?wordlist=226
Months of the year,https://www.spellzone.com/word_lists/list.cfm?wordlist=14181
Musical instruments,https://www.spellzone.com/word_lists/list.cfm?wordlist=227
"Nature, Plants",https://www.spellzone.com/word_lists/list.cfm?wordlist=14171
"People, Personality",https://www.spellzone.com/word_lists/list.cfm?wordlist=14172
"Places, Shopping",https://www.spellzone.com/word_lists/list.cfm?wordlist=14176
"Places, Town",https://www.spellzone.com/word_lists/list.cfm?wordlist=14173
Sports,https://www.spellzone.com/word_lists/list.cfm?wordlist=14180
"Sports, Athletes",https://www.spellzone.com/word_lists/list.cfm?wordlist=14179
"Time, Units",https://www.spellzone.com/word_lists/list.cfm?wordlist=14183
Times of the day,https://www.spellzone.com/word_lists/list.cfm?wordlist=14182
Weather types,https://www.spellzone.com/word_lists/list.cfm?wordlist=14185
Zodiac signs,https://www.spellzone.com/word_lists/list.cfm?wordlist=14184
