Wattle Point Wind Farm Australia,Australia,Operating Fully,-35.1258,137.7126,91,"Wattle Point, near Edithburgh, South Australia",Please Select,55,312,,Please Select,The Australian Gas Light Company (AGL),,,Southern Hydro Pty Limited,The Australian Gas Light Company (AGL),,,http://en.wikipedia.org/wiki/Wattle_Point_Wind_Farm%2C_South_Australia
Waubra Wind Farm Australia,Australia,Operating Fully,-37.352,143.595,192,"Waubra, 35 kilometres north-west of Ballarat, Victoria, Australia",Please Select,128,,,Regional Grid,,,,,Acciona Australia,,,http://www.acciona.com.au/businessDivisions/energy/operationalProjects/waubraWindFarm/index.php
Windy Hill Wind Farm Australia,Australia,Operating Fully,-17.592,145.532,12,"near Ravenshoe on the Atherton Tablelands, Queensland, Australia",Farmland,20,,,Please Select,Transfield Services Infrastructure Ltd. (acquired from Stanwell Corporation and Griffin Energy on 2007-12-05),,,Stanwell Corporation,Transfield Services Infrastructure Ltd,,,http://en.wikipedia.org/wiki/Windy_Hill_Wind_Farm%2C_Queensland
Woolnorth Bluff Point Wind Farm Australia,Australia,Operating Fully,-40.73,144.691,64.75,"Woolnorth, Tasmania, Australia",Please Select,37,,4.2,Please Select,Hydro Tasmania,50,,,Roaring 40s Renewable Energy Pty Ltd,,,http://www.hydro.com.au/system/files/attachments/bluffPoint_Power_Station-Fact-Sheets.pdf
Woolnorth Studland Bay Wind Farm Australia,Australia,Operating Fully,-40.6782,144.6935,75,"Studland Bay, Woolnorth, Tasmania, Australia",Grazing Land,25,,4,Regional Grid,Hydro Tasmania,50,,,Roaring 40s Renewable Energy Pty Ltd,,,http://en.wikipedia.org/wiki/Woolnorth_Wind_Farm%2C_Tasmania
Yambuk Wind Farm Australia,Australia,Operating Fully,-38.3126,142.0222,30,"Victoria, Australia",Grazing Land,20,90,,National Grid,Pacific Hydro,,,,Pacific Hydro,,,http://en.wikipedia.org/wiki/Portland_Wind_Project
Bruck an der Leitha Wind Farm Austria,Austria,Operating Fully,48.0338,16.7264,9,"Bruck an der Leitha, Lower Austria, Austria",Farmland,5,15,,Please Select,Verbund Renewable Power GmbH,,,,Verbund Renewable Power GmbH,,,http://www.verbund.com/pp/en/region/oesterreich/niederoesterreich  http://www.verbund.com/pp/en/wind-farm
Hollern Wind Farm Austria,Austria,Operating Fully,48.095,16.89,33,"Hollern in the district of Bruck an der Leitha, Lower Austria, Austria",Farmland,14,,,National Grid,VERBUND AG,100,,Energiewerkstatt Munderfing/EWS Consulting,Verbund,,,http://www.verbund.com/pp/en/wind-farm/hollern
Petronell-Carnuntum Wind Farm Austria,Austria,Operating Fully,48.09,16.844,79,"Petronell-Carnuntum,",Farmland,32,98.8,,National Grid,Verbund Renewable Power GmbH,,,,Verbund Renewable Power GmbH,,,http://www.verbund.com/pp/de/windkraftwerk
Antwerp BASF Wind Farm Netherlands,Belgium,Operating Fully,51.3676,4.2981,12,"Antwerp, Belgium","Developed, for other Purpose",6,,,National Grid,Electrabel GDF Suez,,Private,,Electrabel,,,http://www.electrabel.be/whoarewe/activities/generationfacilities.aspx
Belwind Wind Farm Belgium,Belgium,Operating Fully,51.66,2.8,165,"Bligh Bank, 46 km from Zeebrugge, Belgium",Offshore,55,540,,National Grid,Belwind Offshore Energy,,Private,Vestas and Van Oord Dredging and Marine Contractors,Electrabel and Belwind Offshore Energy,,"Dexia, Rabobank, ASN Bank, the European Investment Bank and EKF",http://www.vanoord.com/gb-en/our_newsroom/archive_news_releases/news_archive_2010/completion_belwind_and_new_installation_vessel/index.php
