Star Valley,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Saint Johns,12.11¢/kWh.,13.17¢/kWh.,9.92¢/kWh.
Superior,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Surprise,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Taylor,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Tempe,8.84¢/kWh.,10.85¢/kWh.,6.1¢/kWh.
Thatcher,10.52¢/kWh.,11.12¢/kWh.,10.71¢/kWh.
Tolleson,8.84¢/kWh.,10.85¢/kWh.,6.1¢/kWh.
Tombstone,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Tucson,11.26¢/kWh.,10.15¢/kWh.,7.22¢/kWh.
Tusayan,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Wellton,7.73¢/kWh.,11.05¢/kWh.,9.94¢/kWh.
Wickenburg,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Willcox,11.32¢/kWh.,14.02¢/kWh.,10.19¢/kWh.
Williams,10.13¢/kWh.,11.78¢/kWh.,8.25¢/kWh.
Winkelman,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Winslow,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Youngtown,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
Yuma,10.22¢/kWh.,11.96¢/kWh.,7.87¢/kWh.
