Word,Audio,Category
band,https://upload.wikimedia.org/wikipedia/commons/b/bd/En-ca-band.opus,noun
bandit,,
bankrupt,,
barber,https://upload.wikimedia.org/wikipedia/commons/b/bc/En-us-barber.ogg,noun
bark,https://upload.wikimedia.org/wikipedia/commons/9/9e/En-us-bark.ogg,verb
Barney's,,
barrel,https://upload.wikimedia.org/wikipedia/commons/4/40/En-us-ne-Barrel.ogg,noun
barrels,https://upload.wikimedia.org/wikipedia/commons/b/b2/En-us-barrels.ogg,noun
barren,https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-barren.ogg,adjective
basement,https://upload.wikimedia.org/wikipedia/commons/4/40/En-us-basement.ogg,noun
basic,,
bath,https://upload.wikimedia.org/wikipedia/commons/f/f9/En-us-bath.ogg,noun
bathe,https://upload.wikimedia.org/wikipedia/commons/b/bb/En-us-bathe.ogg,verb
bathrobe,,
bathroom,https://upload.wikimedia.org/wikipedia/commons/1/12/En-us-bathroom.ogg,noun
batter,https://upload.wikimedia.org/wikipedia/commons/6/65/En-us-batter.ogg,verb
bawl,,
bay,https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-bay.ogg,noun
beaten,https://upload.wikimedia.org/wikipedia/commons/7/72/En-us-beaten.ogg,adjective
beautiful,https://upload.wikimedia.org/wikipedia/commons/e/ea/En-us-beautiful.ogg,adjective
beds,https://upload.wikimedia.org/wikipedia/commons/e/e8/En-us-beds.ogg,noun
beech,https://upload.wikimedia.org/wikipedia/commons/7/7d/En-us-beech.ogg,noun
begs,,
belch,,
belief,https://upload.wikimedia.org/wikipedia/commons/3/30/En-us-belief.ogg,noun
bells,https://upload.wikimedia.org/wikipedia/commons/9/99/En-us-bells.ogg,noun
belt,https://upload.wikimedia.org/wikipedia/commons/e/e0/En-us-belt.ogg,noun
Ben,,
bend,,
berm,,
Bernard,,
berry,https://upload.wikimedia.org/wikipedia/commons/f/f3/En-us-ne-berry.ogg,noun
Bess s,,
Betty,,
bib,https://upload.wikimedia.org/wikipedia/commons/4/46/En-us-bib.ogg,noun
Bible,,
bibs,,
bid,https://upload.wikimedia.org/wikipedia/commons/b/b7/En-us-bid.ogg,verb
bilk,https://upload.wikimedia.org/wikipedia/commons/d/d5/En-us-bilk.ogg,noun
billion,https://upload.wikimedia.org/wikipedia/commons/9/9b/En-us-billion.ogg,numeral
billionth,,
Bill s,,
bim,,
bind,https://upload.wikimedia.org/wikipedia/commons/1/19/En-us-bind.ogg,verb
binge,,
biology,,
bip,,
bird,https://upload.wikimedia.org/wikipedia/commons/0/07/En-us-bird.ogg,noun
biscuit,https://upload.wikimedia.org/wikipedia/commons/5/5b/En-us-biscuit.ogg,noun
bite,https://upload.wikimedia.org/wikipedia/commons/f/f4/En-us-bite.ogg,verb
bites,,
bits,,
blades,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/22/En-us-blades.ogg/En-us-blades.ogg.mp3,noun
Blake,,
blanch,,
blank,,
blarney,https://upload.wikimedia.org/wikipedia/commons/6/61/En-us-blarney.ogg,noun
blast,,
blaze,https://upload.wikimedia.org/wikipedia/commons/1/11/En-us-blaze.ogg,noun
bleach,https://upload.wikimedia.org/wikipedia/commons/d/db/En-us-bleach.ogg,adjective
bleat,,
bleed,,
blemish,,
blen,,
blend,https://upload.wikimedia.org/wikipedia/commons/c/c7/En-us-blend.ogg,noun
blesses,,
blew,https://upload.wikimedia.org/wikipedia/commons/4/44/En-us-blew.ogg,verb
blight,,
blimp,,
blink,,
blinks,,
blister,,
blond,,
blood,https://upload.wikimedia.org/wikipedia/commons/c/c9/En-us-blood.ogg,noun
blot,https://upload.wikimedia.org/wikipedia/commons/b/b5/En-us-blot.ogg,noun
blow,https://upload.wikimedia.org/wikipedia/commons/8/84/En-us-blow.ogg,adjective
blown,https://upload.wikimedia.org/wikipedia/commons/1/1f/En-us-blown.ogg,adjective
blows,https://upload.wikimedia.org/wikipedia/commons/9/98/En-us-blows.ogg,noun
bluff,,
blun,,
blunt,https://upload.wikimedia.org/wikipedia/commons/5/52/En-us-blunt.ogg,adjective
blur,https://upload.wikimedia.org/wikipedia/commons/8/83/En-us-blur.ogg,verb
blurb,,
blurted,,
blush,https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-blush.ogg,noun
boa,,
boast,https://upload.wikimedia.org/wikipedia/commons/7/7f/En-us-boast.ogg,noun
Bogey's,,
bomb,https://upload.wikimedia.org/wikipedia/commons/3/3c/En-us-bomb.ogg,noun
bond,https://upload.wikimedia.org/wikipedia/commons/0/00/En-us-bond.ogg,noun
bonfire,https://upload.wikimedia.org/wikipedia/commons/e/ec/En-us-bonfire.ogg,noun
bonus,,
bony,,
book,https://upload.wikimedia.org/wikipedia/commons/3/3d/En-us-book.ogg,noun
booklet,,
boost,,
boot,https://upload.wikimedia.org/wikipedia/commons/b/b3/En-us-boot.ogg,noun
born,https://upload.wikimedia.org/wikipedia/commons/6/6f/En-us-born.ogg,verb
bosk,,
bosses,,
boss s,,
bot,https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-bot.ogg,noun
botches,,
boulder,https://upload.wikimedia.org/wikipedia/commons/7/7e/En-us-boulder.ogg,noun
boxes,https://upload.wikimedia.org/wikipedia/commons/2/2d/En-us-boxes.ogg,noun
boy,https://upload.wikimedia.org/wikipedia/commons/7/7f/En-us-boy.ogg,noun
Boyd s,,
boyish,,
braids,https://upload.wikimedia.org/wikipedia/commons/transcoded/d/d3/En-us-braids.ogg/En-us-braids.ogg.mp3,noun
