URL,Category
https://upload.wikimedia.org/wikipedia/commons/f/f1/En-us-antenna.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/3/3c/En-us-antique.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/8/87/En-us-any.ogg,adverb
https://upload.wikimedia.org/wikipedia/commons/6/62/En-us-anyone.ogg,
https://upload.wikimedia.org/wikipedia/commons/e/e9/En-us-anything.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/97/En-us-anywhere.ogg,adverb
https://upload.wikimedia.org/wikipedia/commons/0/03/En-uk-apartment.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/5/5d/En-us-ape.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/ed/En-us-apology.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/b/b4/En-us-apparatus.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/d/d9/En-us-appeal.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/f/fc/En-us-appear.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/2/2a/En-us-appears.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/e/ed/En-us-appendix.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/9/9a/En-us-apple.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/3/3f/En-us-apply.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/1/16/En-us-approach.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/b/b5/En-us-approaching.ogg,adjective
,
https://upload.wikimedia.org/wikipedia/commons/3/35/En-us-April.ogg,proper noun
https://upload.wikimedia.org/wikipedia/commons/6/63/En-us-aquarium.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/6/69/En-us-are.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/6/6e/En-us-argue.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/8/85/En-us-around.ogg,preposition
https://upload.wikimedia.org/wikipedia/commons/5/57/En-us-arrest.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/e/e5/En-us-arrive.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-artist.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-as.ogg,adverb
https://upload.wikimedia.org/wikipedia/commons/d/df/En-us-aside.ogg,adverb
https://upload.wikimedia.org/wikipedia/commons/d/d8/En-uk-to_ask.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/2/25/En-us-asks.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/a/a8/En-us-asphalt.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/f/f4/En-us-assemble.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/c/c9/En-us-assign.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/1/18/En-us-assistant.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/a/a5/En-us-astound.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/1/12/En-us-at.ogg,preposition
https://upload.wikimedia.org/wikipedia/commons/a/af/En-us-ate.ogg,verb
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/5/5d/En-us-Atlanta.oga/En-us-Atlanta.oga.mp3,proper noun
,
https://upload.wikimedia.org/wikipedia/commons/4/40/En-us-atmosphere.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/8/8b/En-us-attack.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/24/En-us-attempt.ogg,verb
https://upload.wikimedia.org/wikipedia/commons/8/8e/En-us-attentive.ogg,adjective
https://upload.wikimedia.org/wikipedia/commons/9/95/En-us-attorney.ogg,noun
,
https://upload.wikimedia.org/wikipedia/commons/transcoded/e/e9/En-us-Auburn.ogg/En-us-Auburn.ogg.mp3,noun
https://upload.wikimedia.org/wikipedia/commons/0/0d/En-us-August.ogg,proper noun
,
https://upload.wikimedia.org/wikipedia/commons/6/62/En-us-author.ogg,noun
https://upload.wikimedia.org/wikipedia/commons/2/29/En-us-authority.ogg,noun
