Name,Country,Status,Latitude,Longitude,Design Capacity,Plant Type,Plant Use,Location,Power Grid,Cooling Water,Year Commissioned,Owner,Per Owner,Ownership Type,EPC Contractor,Operating Company,Regulatory Authority,Financed By,Reference
Schkopau CHP Coal Power Station Germany,Germany,Operating Fully,51.39845,11.95032,916,Cogeneration Power and Heat Steam Turbine,Base Load,"Korbetha, Schkopau, Saxony-Anhalt, Germany",National Grid,Saale River,1995-00-00,E.ON Kraftwerke GmbH,58.1,Private,,E.ON Kraftwerke GmbH,,,http://www.eon-kraftwerke.com/pages/ekw_en/E.ON_Kraftwerke/Locations/index.htm
Scholven (Gelsenkirchen) Coal Power Plant Germany,Germany,Operating Fully,51.6024,7.00636,2200,Sub-critical Thermal,Base Load,"Scholven, Northrine-Westphalia, Germany",Regional Grid,,1948-00-00,E.ON Kraftwerke GmbH,,Private,,E.ON Kraftwerke GmbH,,,http://www.kraftwerk-scholven.com/pages/ekw_en/Scholven_Power_Plant/Overview/index.htm
Schwarze Pumpe Coal Power Plant Germany,Germany,Operating Fully,51.5357,14.3538,1600,Super-critical Thermal,Base Load,"Brandenburg, Germany",National Grid,,1997-00-00,vattenfall,100,Private,,Vattenfall Europe AG,,,http://powerplants.vattenfall.com/node/289
Shamrock Coal Power Plant Germany,Germany,Decommissioned,51.5283,7.179,120,Sub-critical Thermal,Please Select,"Holsterhausen, Herne, North Rhine-Westphalia, Germany",National Grid,,1957-00-00,E.ON Germany,,,,E.ON Germany,,,http://www.eon.com/en/about-us/structure/asset-finder/shamrock.html
Veltheim Coal Power Plant Germany,Germany,Operating Fully,52.1898,8.9335,320,Sub-critical Thermal,Please Select,"Porta Westfalica, North Rhine-Westphalia, Germany",National Grid,Weser River,1970-00-00,E.ON Kraftwerke GmbH,66.7,,,Gemeinschaftskraftwerk Veltheim GmbH,,,http://www.gk-veltheim.de/
Voerde Coal Power Plant Germany,Germany,Operating Fully,51.5771,6.6814,2234,Sub-critical Thermal,Base Load,"Voerde, North Rhine-Westphalia, Germany",National Grid,Rhine River,1970-00-00,STEAG GmbH,75,Private,,STEAG GmbH,,,http://www.steag.com/voerde+M52087573ab0.html   http://www.steag.com/voerde.html
Völklingen-Fens CHP Coal Power Plant Germany,Germany,Operating Fully,49.2489,6.8812,466,Cogeneration Power and Heat Steam Turbine,Please Select,"Völklingen, Saarland, Germany",National Grid,Saar River,1982-00-00,Steag Power GmbH,,,,Steag Power GmbH,,,http://www.steag.com/voelklingenfenne.html  http://power-saar.steag-saarenergie.de/en/index.php
Wedel CHP Power Plant Germany,Germany,Operating Fully,53.5667,9.72528,391.7,Sub-critical Thermal,Cogeneration,"Wedel, Schleswig-Holstein, Germany",Regional Grid,Elbe River,1965-00-00,Vattenfall,100,,,Vattenfall,,,http://powerplants.vattenfall.com/node/296
Weiher-3 (Quierschied) CHP Coal Power Plant Germany,Germany,Operating Fully,49.3347,7.0348,724,Sub-critical Thermal,Base Load,"Quierschied, Saarland, Germany",National Grid,Saar River,1976-00-00,Steag,,,Steag,Steag Power GmbH,,,http://www.steag.com/weiher.html   http://power-saar.steag-saarenergie.de/en/index.php
Weisweiler Coal Power Plant Germany,Germany,Operating Fully,50.8387,6.3219,2180,Sub-critical Thermal,Base Load,"Weisweiler, North Rhine-Westphalia, Germany",National Grid,,1955-00-00,RWE Generation SE,,,,RWE Generation SE,,,http://www.rwe.com/web/cms/en/60142/rwe-power-ag/locations/lignite/weisweiler-power-plant/
Werdohl-Elverlingsen E Coal Power Plant Germany,Germany,Operating Fully,51.27587,7.70679,487,Sub-critical Thermal,Please Select,"North of Elverlingsen, North Rhine-Westphalia, Germany",National Grid,Lenne River,1971-00-00,Mark-E Aktiengesellschaft (Hagen),,,,Mark-E,,,http://www.mark-e.de/Desktopdefault.aspx/tabid-63/49_read-71
Werne (Gersteinwerk Block K) Coal Power Plant Germany,Germany,Operating Fully,51.6739,7.7195,770,Sub-critical Thermal,Base/Intermediate Load,59368 Werne Hammer Straße 2 Germany,National Grid,Lippe River,1984-00-00,RWE,100,Private,,RWE Gneration,,,werne-gersteinwerk-power-plants-pdf.pdf
Westfalen Coal Power Plant Germany,Germany,Operating Fully,51.6805,7.9696,305,Sub-critical Thermal,Base/Intermediate Load,"Siegenbeckstraße, Hamm-Uentrop, Germany",National Grid,Datteln-Hamm Canal,1963-00-00,RWE Power,100,Private,,RWE Power,,,http://www.rwe.com/web/cms/de/1770974/rwe-generation-se/standorte/deutschland/kw-westfalen/
Westfalen Hamm Coal Power Plant Germany,Germany,Operating Fully,51.6766,7.9724,1600,Super-critical Thermal,Base Load,"Uentrop-Schmehausen, North Rhine-Westphalia, Germany",National Grid,Lippe River,2014-00-00,RWE Power,,,,RWE Power,,,http://www.rwe.com/web/cms/mediablob/en/331230/data/12428/4/rwe-power-ag/power-plant-new-build/westfalen-power-station-units-d-and-e/Westfalen-Power-Plant-New-build-project-units-d-and-e.pdf
Wilhelmshaven Coal Power Plant Germany,Germany,Operating Fully,53.5647,8.1469,757,Sub-critical Thermal,Base Load,"Wilhelmshaven, Lower Saxony, Germany",National Grid,Seawater,1976-00-00,E.ON Kraftwerke GmbH,100,Private,,E.ON Kraftwerke GmbH,,,http://www.eon.com/de/ueber-uns/struktur/asset-finder/wilhelmshaven.html
Zolling Coal CHP Power Plant Germany,Germany,Operating Fully,48.4554,11.8017,474,Sub-critical Thermal,Base Load,"Zolling, Freising, Bavaria, Germany",National Grid,Amper River,1986-00-00,GDF SUEZ (swap with E.ON in 2009),100,,,GDF SUEZ Energie Deutschland AG,,,https://www.gdfsuez-energie.de/de/erzeugung/erzeugungsanlagen/zolling
Aghios Dimitrios Coal Power Plant Greece,Greece,Operating Fully,40.3933,21.9249,1595,Sub-critical Thermal,Base Load,"near Agios Dimitrios, Kozani, Greece",National Grid,,1984-00-00,Public Power Corp (DEH),,Government,Alsaldo (unit 5),Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Aminteo (Amyntaio)  Coal Power Plant Greece,Greece,Operating Fully,40.6191,21.6838,600,Sub-critical Thermal,Base Load,"near Amyntaio, Florina, Western Macedonia, Greece",National Grid,,1987-00-00,Public Power Corp (DEH),,Government,,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Florina  Coal Power Plant Greece,Greece,Operating Fully,40.8114,21.6014,330,Super-critical Thermal,Base Load,"Meliti, Ahlada, Florina, Western Macedonia, Greece",National Grid,,2003-10-02,Public Power Corp (DEH),,Government,Alstom,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Kardia  Coal Power Plant Greece,Greece,Operating Fully,40.4105,21.7851,1250,Sub-critical Thermal,Base Load,"Kozani, West Macedonia, Kozani, Greece",National Grid,,1975-00-00,Public Power Corp (DEH),,,,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Megalopoli Coal Power Plant Greece,Greece,Operating Fully,37.418,22.1083,850,Sub-critical Thermal,Base Load,"near Megalopoli, Arcadia, Peloponnese, Greece",National Grid,Alpheus River,1970-00-00,Public Power Corp (DEH),,Government,,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
Ptolemais Coal Power Plant Greece,Greece,Operating Fully,40.4807,21.7282,550,Sub-critical Thermal,Base Load,"Kozani, West Macedonia, Kozani, Greece",National Grid,,1959-00-00,Public Power Corp (DEH),,Government,,Public Power Corp (DEH),,,http://www.dei.gr/Default.aspx?id=146&nt=123&lang=2
